FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2AFROCUB.MID,1,2,AFC_0001,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:1-2
2AFROCUB.MID,3,4,AFC_0002,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:3-4
2AFROCUB.MID,5,6,AFC_0003,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:5-6
2AFROCUB.MID,7,8,AFC_0004,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:7-8
2AFROCUB.MID,9,10,AFC_0005,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:9-10
2AFROCUB.MID,11,12,AFC_0006,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:11-12
2AFROCUB.MID,13,14,AFC_0007,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:13-14
2AFROCUB.MID,15,16,AFC_0008,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:15-16
2AFROCUB.MID,17,18,AFC_0009,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:17-18
2AFROCUB.MID,19,20,,4/4,LEGACY,NO,AFC,16,NO,2,2AFROCUB.MID:19-20
2AFROCUB.MID,21,22,AFC_0010,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:21-22
2AFROCUB.MID,23,24,AFC_0011,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:23-24
2AFROCUB.MID,25,26,AFC_0012,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:25-26
2AFROCUB.MID,27,28,AFC_0013,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:27-28
2AFROCUB.MID,29,30,AFC_0014,4/4,LEGACY,YES,AFC,16,NO,,2AFROCUB.MID:29-30
