FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2FUNK1.MID,1,2,FNK_0001,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:1-2
2FUNK1.MID,3,4,FNK_0002,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:3-4
2FUNK1.MID,5,6,FNK_0003,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:5-6
2FUNK1.MID,7,8,FNK_0004,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:7-8
2FUNK1.MID,9,10,FNK_0005,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:9-10
2FUNK1.MID,11,12,FNK_0006,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:11-12
2FUNK1.MID,13,14,FNK_0007,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:13-14
2FUNK1.MID,15,16,FNK_0008,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:15-16
2FUNK1.MID,17,18,FNK_0009,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:17-18
2FUNK1.MID,19,20,FNK_0010,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:19-20
2FUNK1.MID,21,22,FNK_0011,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:21-22
2FUNK1.MID,23,24,FNK_0012,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:23-24
2FUNK1.MID,25,26,FNK_0013,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:25-26
2FUNK1.MID,27,28,FNK_0014,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:27-28
2FUNK1.MID,29,30,FNK_0015,4/4,LEGACY,YES,FNK,16,NO,,2FUNK1.MID:29-30
