FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2MISC.MID,1,2,DRM_0001,4/4,RAP,YES,DRM,16,NO,,2MISC.MID:1-2
2MISC.MID,3,4,DRM_0002,4/4,RAP,YES,DRM,16,NO,,2MISC.MID:3-4
2MISC.MID,5,6,DRM_0003,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:5-6
2MISC.MID,7,8,DRM_0004,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:7-8
2MISC.MID,9,10,DRM_0005,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:9-10
2MISC.MID,11,12,DRM_0006,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:11-12
2MISC.MID,13,14,DRM_0007,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:13-14
2MISC.MID,15,16,DRM_0008,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:15-16
2MISC.MID,17,18,DRM_0009,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:17-18
2MISC.MID,19,20,DRM_0010,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:19-20
2MISC.MID,21,22,DRM_0011,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:21-22
2MISC.MID,23,24,DRM_0012,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:23-24
2MISC.MID,25,26,DRM_0013,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:25-26
2MISC.MID,27,28,DRM_0014,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:27-28
2MISC.MID,29,30,DRM_0015,4/4,LEGACY,YES,DRM,16,NO,,2MISC.MID:29-30
2MISC.MID,31,32,DRM_0016,4/4,LEGACY,YES,DRM,32,NO,,2MISC.MID:31-32
