FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2REGGAE.MID,1,2,REG_0001,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:1-2
2REGGAE.MID,3,4,REG_0002,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:3-4
2REGGAE.MID,5,6,REG_0003,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:5-6
2REGGAE.MID,7,8,REG_0004,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:7-8
2REGGAE.MID,9,10,REG_0005,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:9-10
2REGGAE.MID,11,12,REG_0006,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:11-12
2REGGAE.MID,13,14,REG_0007,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:13-14
2REGGAE.MID,15,16,REG_0008,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:15-16
2REGGAE.MID,17,18,REG_0009,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:17-18
2REGGAE.MID,19,20,REG_0010,4/4,LEGACY,YES,REG,8T,NO,,2REGGAE.MID:19-20
2REGGAE.MID,21,22,REG_0011,4/4,LEGACY,YES,REG,8T,NO,,2REGGAE.MID:21-22
2REGGAE.MID,23,24,REG_0012,4/4,LEGACY,YES,REG,8T,NO,,2REGGAE.MID:23-24
2REGGAE.MID,25,26,REG_0013,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:25-26
2REGGAE.MID,27,28,REG_0014,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:27-28
2REGGAE.MID,29,30,REG_0015,4/4,LEGACY,YES,REG,16,NO,,2REGGAE.MID:29-30
