FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
5RAP_056.MID,1,2,RAP_0535,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:1-2
5RAP_056.MID,3,4,RAP_0536,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:3-4
5RAP_056.MID,5,6,RAP_0537,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:5-6
5RAP_056.MID,7,8,RAP_0538,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:7-8
5RAP_056.MID,9,10,RAP_0539,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:9-10
5RAP_056.MID,11,12,RAP_0540,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:11-12
5RAP_056.MID,13,14,RAP_0541,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:13-14
5RAP_056.MID,15,16,RAP_0542,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:15-16
5RAP_056.MID,17,18,RAP_0543,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:17-18
5RAP_056.MID,19,20,RAP_0544,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:19-20
5RAP_056.MID,21,22,RAP_0545,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:21-22
5RAP_056.MID,23,24,RAP_0546,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:23-24
5RAP_056.MID,25,26,RAP_0547,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:25-26
5RAP_056.MID,27,28,RAP_0548,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:27-28
5RAP_056.MID,29,30,RAP_0549,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:29-30
5RAP_056.MID,31,32,RAP_0550,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:31-32
5RAP_056.MID,33,34,RAP_0551,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:33-34
5RAP_056.MID,35,36,RAP_0552,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:35-36
5RAP_056.MID,37,38,RAP_0553,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:37-38
5RAP_056.MID,39,40,RAP_0554,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:39-40
5RAP_056.MID,41,42,RAP_0555,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:41-42
5RAP_056.MID,43,44,RAP_0556,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:43-44
5RAP_056.MID,45,46,RAP_0557,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:45-46
5RAP_056.MID,47,48,RAP_0558,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:47-48
5RAP_056.MID,49,50,RAP_0559,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:49-50
5RAP_056.MID,51,52,,4/4,LEGACY,NO,RAP,16T,NO,25,5RAP_056.MID:51-52
5RAP_056.MID,53,54,RAP_0560,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:53-54
5RAP_056.MID,55,56,,4/4,LEGACY,NO,RAP,16T,NO,27,5RAP_056.MID:55-56
5RAP_056.MID,57,58,RAP_0561,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:57-58
5RAP_056.MID,59,60,,4/4,LEGACY,NO,RAP,16T,NO,29,5RAP_056.MID:59-60
5RAP_056.MID,61,62,RAP_0562,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:61-62
5RAP_056.MID,63,64,,4/4,LEGACY,NO,RAP,16T,NO,31,5RAP_056.MID:63-64
5RAP_056.MID,65,66,RAP_0563,4/4,RAP,YES,RAP,16T,NO,,5RAP_056.MID:65-66
5RAP_056.MID,67,68,,4/4,RAP,NO,RAP,16T,NO,33,5RAP_056.MID:67-68
5RAP_056.MID,69,70,RAP_0564,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:69-70
5RAP_056.MID,71,72,,4/4,LEGACY,NO,RAP,16T,NO,35,5RAP_056.MID:71-72
5RAP_056.MID,73,74,RAP_0565,4/4,RAP,YES,RAP,16T,NO,,5RAP_056.MID:73-74
5RAP_056.MID,75,76,,4/4,RAP,NO,RAP,16T,NO,37,5RAP_056.MID:75-76
5RAP_056.MID,77,78,RAP_0566,4/4,RAP,YES,RAP,16T,NO,,5RAP_056.MID:77-78
5RAP_056.MID,79,80,,4/4,RAP,NO,RAP,16T,NO,39,5RAP_056.MID:79-80
5RAP_056.MID,81,82,RAP_0567,4/4,RAP,YES,RAP,16T,NO,,5RAP_056.MID:81-82
5RAP_056.MID,83,84,,4/4,RAP,NO,RAP,16T,NO,41,5RAP_056.MID:83-84
5RAP_056.MID,85,86,RAP_0568,4/4,LEGACY,YES,RAP,16T,NO,,5RAP_056.MID:85-86
5RAP_056.MID,87,87,,4/4,LEGACY,NO,RAP,16,NO,,5RAP_056.MID:87-87
