FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2BALLAD.MID,1,2,BAL_0001,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:1-2
2BALLAD.MID,3,4,BAL_0002,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:3-4
2BALLAD.MID,5,6,BAL_0003,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:5-6
2BALLAD.MID,7,8,BAL_0004,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:7-8
2BALLAD.MID,9,10,BAL_0005,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:9-10
2BALLAD.MID,11,12,BAL_0006,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:11-12
2BALLAD.MID,13,14,BAL_0007,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:13-14
2BALLAD.MID,15,16,BAL_0008,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:15-16
2BALLAD.MID,17,18,BAL_0009,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:17-18
2BALLAD.MID,19,20,BAL_0010,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:19-20
2BALLAD.MID,21,22,BAL_0011,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:21-22
2BALLAD.MID,23,24,BAL_0012,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:23-24
2BALLAD.MID,25,26,BAL_0013,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:25-26
2BALLAD.MID,27,28,BAL_0014,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:27-28
2BALLAD.MID,29,30,BAL_0015,4/4,LEGACY,YES,BAL,16,NO,,2BALLAD.MID:29-30
