FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2FUNK3.MID,1,2,FNK_0031,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:1-2
2FUNK3.MID,3,4,FNK_0032,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:3-4
2FUNK3.MID,5,6,FNK_0033,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:5-6
2FUNK3.MID,7,8,FNK_0034,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:7-8
2FUNK3.MID,9,10,FNK_0035,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:9-10
2FUNK3.MID,11,12,FNK_0036,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:11-12
2FUNK3.MID,13,14,FNK_0037,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:13-14
2FUNK3.MID,15,16,FNK_0038,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:15-16
2FUNK3.MID,17,18,FNK_0039,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:17-18
2FUNK3.MID,19,20,FNK_0040,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:19-20
2FUNK3.MID,21,22,FNK_0041,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:21-22
2FUNK3.MID,23,24,FNK_0042,4/4,LEGACY,YES,FNK,16,NO,,2FUNK3.MID:23-24
2FUNK3.MID,25,26,,4/4,LEGACY,NO,FNK,16,NO,,2FUNK3.MID:25-26
2FUNK3.MID,27,28,,4/4,LEGACY,NO,FNK,16,NO,,2FUNK3.MID:27-28
2FUNK3.MID,29,29,,4/4,LEGACY,NO,FNK,16,NO,,2FUNK3.MID:29-29
