FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2LATIN.MID,1,2,LAT_0001,4/4,RAP,YES,LAT,16,NO,,2LATIN.MID:1-2
2LATIN.MID,3,4,LAT_0002,4/4,RAP,YES,LAT,16,NO,,2LATIN.MID:3-4
2LATIN.MID,5,6,LAT_0003,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:5-6
2LATIN.MID,7,8,LAT_0004,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:7-8
2LATIN.MID,9,10,LAT_0005,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:9-10
2LATIN.MID,11,12,LAT_0006,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:11-12
2LATIN.MID,13,14,LAT_0007,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:13-14
2LATIN.MID,15,16,LAT_0008,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:15-16
2LATIN.MID,17,18,LAT_0009,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:17-18
2LATIN.MID,19,20,LAT_0010,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:19-20
2LATIN.MID,21,22,LAT_0011,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:21-22
2LATIN.MID,23,24,LAT_0012,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:23-24
2LATIN.MID,25,26,LAT_0013,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:25-26
2LATIN.MID,27,28,LAT_0014,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:27-28
2LATIN.MID,29,30,LAT_0015,4/4,LEGACY,YES,LAT,16,NO,,2LATIN.MID:29-30
