FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2POP.MID,1,2,POP_0001,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:1-2
2POP.MID,3,4,POP_0002,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:3-4
2POP.MID,5,6,POP_0003,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:5-6
2POP.MID,7,8,POP_0004,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:7-8
2POP.MID,9,10,POP_0005,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:9-10
2POP.MID,11,12,POP_0006,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:11-12
2POP.MID,13,14,POP_0007,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:13-14
2POP.MID,15,16,POP_0008,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:15-16
2POP.MID,17,18,POP_0009,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:17-18
2POP.MID,19,20,POP_0010,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:19-20
2POP.MID,21,22,POP_0011,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:21-22
2POP.MID,23,24,POP_0012,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:23-24
2POP.MID,25,26,POP_0013,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:25-26
2POP.MID,27,28,POP_0014,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:27-28
2POP.MID,29,30,POP_0015,4/4,LEGACY,YES,POP,16,NO,,2POP.MID:29-30
