FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2RANDB.MID,1,2,RNB_0001,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:1-2
2RANDB.MID,3,4,RNB_0002,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:3-4
2RANDB.MID,5,6,RNB_0003,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:5-6
2RANDB.MID,7,8,RNB_0004,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:7-8
2RANDB.MID,9,10,RNB_0005,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:9-10
2RANDB.MID,11,12,RNB_0006,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:11-12
2RANDB.MID,13,14,RNB_0007,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:13-14
2RANDB.MID,15,16,RNB_0008,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:15-16
2RANDB.MID,17,18,RNB_0009,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:17-18
2RANDB.MID,19,20,RNB_0010,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:19-20
2RANDB.MID,21,22,RNB_0011,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:21-22
2RANDB.MID,23,24,RNB_0012,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:23-24
2RANDB.MID,25,26,RNB_0013,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:25-26
2RANDB.MID,27,28,RNB_0014,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:27-28
2RANDB.MID,29,30,RNB_0015,4/4,LEGACY,YES,RNB,16,NO,,2RANDB.MID:29-30
