FILE,START_BAR,END_BAR,NAME,TIME_SIG,SLOT_MAP,EXPORT,GENRE,SUBDIV,ORN,DUPLICATE_OF,SOURCE
2ROCK.MID,1,2,RCK_0001,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:1-2
2ROCK.MID,3,4,RCK_0002,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:3-4
2ROCK.MID,5,6,RCK_0003,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:5-6
2ROCK.MID,7,8,RCK_0004,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:7-8
2ROCK.MID,9,10,RCK_0005,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:9-10
2ROCK.MID,11,12,RCK_0006,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:11-12
2ROCK.MID,13,14,RCK_0007,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:13-14
2ROCK.MID,15,16,RCK_0008,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:15-16
2ROCK.MID,17,18,RCK_0009,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:17-18
2ROCK.MID,19,20,RCK_0010,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:19-20
2ROCK.MID,21,22,RCK_0011,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:21-22
2ROCK.MID,23,24,RCK_0012,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:23-24
2ROCK.MID,25,26,RCK_0013,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:25-26
2ROCK.MID,27,28,,4/4,LEGACY,NO,RCK,16,NO,1,2ROCK.MID:27-28
2ROCK.MID,29,30,RCK_0014,4/4,LEGACY,YES,RCK,16,NO,,2ROCK.MID:29-30
